,Cases in Finland
2020-08-06,7532
2020-08-07,7554
2020-08-08,7568
2020-08-09,7584
2020-08-10,7601
2020-08-11,7623
2020-08-12,7642
2020-08-13,7683
2020-08-14,7700
2020-08-15,7720
2020-08-16,7731
2020-08-17,7752
2020-08-18,7776
2020-08-19,7805
2020-08-20,7842
2020-08-21,7871
2020-08-22,7906
2020-08-23,7920
2020-08-24,7938
2020-08-25,7981
2020-08-26,8002
2020-08-27,8019
2020-08-28,8042
2020-08-29,8049
2020-08-30,8077
2020-08-31,8086
2020-09-01,8142
2020-09-02,8161
2020-09-03,8200
2020-09-04,8225
2020-09-05,8261
2020-09-06,8291
2020-09-07,8327
2020-09-08,8337
2020-09-09,8430
2020-09-10,8469
2020-09-11,8512
2020-09-12,8557
2020-09-13,8580
2020-09-14,8627
2020-09-15,8725
2020-09-16,8750
2020-09-17,8799
2020-09-18,8858
2020-09-19,8922
2020-09-20,8980
2020-09-21,9046
2020-09-22,9195
2020-09-23,9288
2020-09-24,9379
2020-09-25,9484
2020-09-26,9577
2020-09-27,9682
2020-09-28,9743
2020-09-29,9892
2020-09-30,9992
2020-10-01,10103
2020-10-02,10244
2020-10-03,10391
2020-10-04,10538
2020-10-05,10702
2020-10-06,10929
2020-10-07,11049
2020-10-08,11345
2020-10-09,11580
2020-10-10,11849
2020-10-11,11998
2020-10-12,12212
2020-10-13,12499
2020-10-14,12703
2020-10-15,12944
2020-10-16,13133
2020-10-17,13293
2020-10-18,13424
2020-10-19,13555
2020-10-20,13849
2020-10-21,14071
2020-10-22,14255
2020-10-23,14474
2020-10-24,14652
2020-10-25,14848
2020-10-26,14970
2020-10-27,15163
2020-10-28,15378
2020-10-29,15566
2020-10-30,15910
2020-10-31,16113
2020-11-01,16291
2020-11-02,16400
2020-11-03,16637
2020-11-04,16930
2020-11-05,17119
2020-11-06,17385
2020-11-07,17385
2020-11-08,17797
2020-11-09,17887
2020-11-10,18107
2020-11-11,18345
2020-11-12,18542
2020-11-13,18858
2020-11-14,19102
2020-11-15,19315
2020-11-16,19419
2020-11-17,19647
2020-11-18,19935
2020-11-19,20286
2020-11-20,20747
2020-11-21,21216
2020-11-22,21639
2020-11-23,21936
2020-11-24,22289
2020-11-25,22652
2020-11-26,23148
2020-11-27,23766
2020-11-28,24307
2020-11-29,24629
2020-11-30,24912
2020-12-01,25462
2020-12-02,25882
2020-12-03,26422
2020-12-04,26758
2020-12-05,27218
2020-12-06,27631
2020-12-07,27881
2020-12-08,28242
2020-12-09,28732
2020-12-10,29572
2020-12-11,30073
2020-12-12,30450
2020-12-13,30810
2020-12-14,31110
2020-12-15,31459
2020-12-16,31870
2020-12-17,32228
2020-12-18,32582
2020-12-19,32853
2020-12-20,33162
2020-12-21,33414
2020-12-22,33717
2020-12-23,34084
2020-12-24,34447
2020-12-25,34648
2020-12-26,34821
2020-12-27,34977
2020-12-28,35137
2020-12-29,35420
2020-12-30,35858
2020-12-31,36107
2021-01-01,36403
2021-01-02,36604
2021-01-03,36772
2021-01-04,36919
2021-01-05,37218
2021-01-06,37549
2021-01-07,37772
2021-01-08,38068
2021-01-09,38392
2021-01-10,38590
2021-01-11,38790
2021-01-12,39011
2021-01-13,39335
2021-01-14,39593
2021-01-15,39911
2021-01-16,40101
2021-01-17,40337
2021-01-18,40505
2021-01-19,40722
2021-01-20,41166
2021-01-21,41565
2021-01-22,41915
2021-01-23,42334
2021-01-24,42580
2021-01-25,42772
2021-01-26,43120
2021-01-27,43616
2021-01-28,44039
2021-01-29,44402
2021-01-30,44871
2021-01-31,45238
2021-02-01,45482
2021-02-02,45784
2021-02-03,46049
2021-02-04,46493
2021-02-05,46894
2021-02-06,47262
2021-02-07,47616
2021-02-08,47969
2021-02-09,48407
2021-02-10,48807
2021-02-11,49165
2021-02-12,49572
2021-02-13,50007
2021-02-14,50319
2021-02-15,50662
2021-02-16,51047
2021-02-17,51595
2021-02-18,52209
2021-02-19,52653
2021-02-20,53285
2021-02-21,53742
2021-02-22,54132
2021-02-23,54532
2021-02-24,55122
2021-02-25,55687
2021-02-26,56407
2021-02-27,57052
2021-02-28,57672
2021-03-01,58064
2021-03-02,58645
2021-03-03,59442
2021-03-04,60200
2021-03-05,60904
2021-03-06,61552
2021-03-07,62063
2021-03-08,62522
2021-03-09,63110
2021-03-10,63889
2021-03-11,64609
2021-03-12,65315
2021-03-13,66006
2021-03-14,66869
2021-03-15,67334
2021-03-16,67851
2021-03-17,68693
2021-03-18,69497
2021-03-19,70267
2021-03-20,71123
2021-03-21,71643
2021-03-22,72073
2021-03-23,72713
2021-03-24,73516
2021-03-25,74242
2021-03-26,74754
2021-03-27,75545
2021-03-28,76003
2021-03-29,76425
2021-03-30,76845
2021-03-31,77452
2021-04-01,78106
2021-04-02,78672
2021-04-03,79094
2021-04-04,79396
2021-04-05,79737
2021-04-06,80068
2021-04-07,80416
2021-04-08,80842
2021-04-09,81261
2021-04-10,81707
2021-04-11,82053
2021-04-12,82278
2021-04-13,82564
2021-04-14,82964
2021-04-15,83253
2021-04-16,83633
2021-04-17,83633
2021-04-18,84131
2021-04-19,84287
2021-04-20,84501
2021-04-21,84797
2021-04-22,85077
2021-04-23,85344
2021-04-24,85607
2021-04-25,85804
2021-04-26,85937
2021-04-27,86161
2021-04-28,86405
2021-04-29,86613
2021-04-30,86808
2021-05-01,87096
2021-05-02,87228
2021-05-03,87345
2021-05-04,87529
2021-05-05,87798
2021-05-06,88078
2021-05-07,88332
2021-05-08,88561
2021-05-09,88723
2021-05-10,88866
2021-05-11,88990
2021-05-12,89270
2021-05-13,89532
2021-05-14,89686
2021-05-15,89878
2021-05-16,90105
2021-05-17,90249
2021-05-18,90398
2021-05-19,90687
2021-05-20,90946
2021-05-21,91157
2021-05-22,91405
2021-05-23,91526
2021-05-24,91619
2021-05-25,91744
2021-05-26,91964
2021-05-27,92062
2021-05-28,92244
2021-05-29,92244
